family,name,split,variant,lam,epochs,seed,overall,flank,adh,fa
stage3_vision,vis_taylor_sym_l0.5_e17_s43,val,sym,0.5,17,43,38.66938400268555,32.90944290161133,18.396493911743164,47.9488410949707
stage3_vision,vis_taylor_sym_l0.5_e17_s43,test,sym,0.5,17,43,19.818960189819336,17.75053596496582,35.54057312011719,23.370742797851562
stage3_vision,vis_taylor_sym_l0.5_e17_s44,val,sym,0.5,17,44,38.335670471191406,32.134613037109375,13.003705978393555,48.55385208129883
stage3_vision,vis_taylor_sym_l0.5_e17_s44,test,sym,0.5,17,44,19.682287216186523,17.239315032958984,38.00407409667969,23.95764923095703
stage3_vision,vis_taylor_sym_l0.5_e34_s42,val,sym,0.5,34,42,43.13017654418945,32.70976638793945,9.63299560546875,59.7110481262207
stage3_vision,vis_taylor_sym_l0.5_e34_s42,test,sym,0.5,34,42,23.515220642089844,17.618309020996094,36.324134826660156,44.07979965209961
stage3_vision,vis_taylor_sym_l0.5_e34_s43,val,sym,0.5,34,43,39.664127349853516,32.800514221191406,15.309708595275879,50.73444747924805
stage3_vision,vis_taylor_sym_l0.5_e34_s43,test,sym,0.5,34,43,20.058427810668945,18.00980567932129,34.03790283203125,24.0952205657959
stage3_vision,vis_taylor_sym_l0.5_e34_s44,val,sym,0.5,34,44,38.49272537231445,31.845579147338867,18.7127685546875,48.966331481933594
stage3_vision,vis_taylor_sym_l0.5_e34_s44,test,sym,0.5,34,44,18.767946243286133,16.327556610107422,34.11072540283203,24.003894805908203
stage3_vision,vis_taylor_sym_l0.5_tslope_e34_s42,val,sym-T,0.5,34,42,65.62063598632812,73.05316925048828,63.36613082885742,55.49465560913086
stage3_vision,vis_taylor_sym_l0.5_tslope_e34_s42,test,sym-T,0.5,34,42,48.7540168762207,51.954708099365234,52.319740295410156,34.162288665771484
stage3_vision,vis_taylor_sym_l0.5_tslope_e34_s43,val,sym-T,0.5,34,43,59.04914474487305,67.45137786865234,68.58438110351562,46.81613540649414
stage3_vision,vis_taylor_sym_l0.5_tslope_e34_s43,test,sym-T,0.5,34,43,45.69405746459961,50.0546760559082,48.55398178100586,26.465808868408203
stage3_vision,vis_taylor_sym_l0.5_tslope_e34_s44,val,sym-T,0.5,34,44,63.90757369995117,71.27384185791016,76.3861312866211,52.914939880371094
stage3_vision,vis_taylor_sym_l0.5_tslope_e34_s44,test,sym-T,0.5,34,44,44.94504928588867,49.73847198486328,55.58750534057617,21.36315155029297
stage3_vision,vision_only_ctrl_e17_s42,val,ctrl,0.0,17,42,46.281044006347656,39.115150451660156,20.73958969116211,57.84636306762695
stage3_vision,vision_only_ctrl_e17_s42,test,ctrl,0.0,17,42,24.77190399169922,19.51259994506836,36.34074783325195,43.06565475463867
stage3_vision,vision_only_ctrl_e17_s43,val,ctrl,0.0,17,43,37.887516021728516,33.16277313232422,21.55217170715332,45.4801139831543
stage3_vision,vision_only_ctrl_e17_s43,test,ctrl,0.0,17,43,24.23407554626465,20.953554153442383,32.37381362915039,35.3437385559082
stage3_vision,vision_only_ctrl_e17_s44,val,ctrl,0.0,17,44,37.66934585571289,32.98046875,17.947277069091797,45.43265151977539
stage3_vision,vision_only_ctrl_e17_s44,test,ctrl,0.0,17,44,20.638002395629883,18.657182693481445,37.44099426269531,23.46959686279297
stage3_vision,vision_only_ctrl_e34_s42,val,ctrl,0.0,34,42,44.29075241088867,34.446876525878906,16.76449966430664,59.686439514160156
stage3_vision,vision_only_ctrl_e34_s42,test,ctrl,0.0,34,42,23.976152420043945,18.070964813232422,38.490562438964844,44.019309997558594
stage3_vision,vision_only_ctrl_e34_s43,val,ctrl,0.0,34,43,38.73653030395508,33.487247467041016,19.54448890686035,47.23989486694336
stage3_vision,vision_only_ctrl_e34_s43,test,ctrl,0.0,34,43,19.66535758972168,17.81119728088379,33.62956237792969,22.8912296295166
stage3_vision,vision_only_ctrl_e34_s44,val,ctrl,0.0,34,44,36.77903747558594,31.65520477294922,22.55434799194336,44.785945892333984
stage3_vision,vision_only_ctrl_e34_s44,test,ctrl,0.0,34,44,20.186044692993164,18.729928970336914,35.0416374206543,21.451187133789062
stage3_fusion,t3gated_ctrl_e17_s42,val,ctrl,0.0,17,42,38.07125473022461,36.371463775634766,19.07888412475586,41.50143051147461
stage3_fusion,t3gated_ctrl_e17_s42,test,ctrl,0.0,17,42,21.464927673339844,19.02633285522461,39.79912185668945,25.634077072143555
